Location,Meters,Price,Rooms,Bathrooms,Floors,Grill,Garage,Private Area,Garden,Pool,Antiquity,Electric Gate,House Type,Internet,Air Conditioner,Cable,Phone,Gas,Electric Plant,Solar Energy,Pais,Estado,Plus Code,Ciudad,Zona
"Cabudare, Lara, Venezuela, Cabudare, Cabudare, Lara",227.0,22000,3,2,1,,4,,,,28,,,,,,,,,,Venezuela,Lara,,Cabudare,
"Granja San Miguel, Callejon San Judas, Cabudare 3023, Lara, Venezuela, La Mata, Cabudare, Lara",1407.0,17000,4,2,2,,2,,,,17,,,,,,,,,,Venezuela,Lara,,Cabudare,Granja San Miguel
"54xh+277, Agua Viva 3050, Lara, Venezuela, Agua Viva, Barquisimeto, Lara",350.0,23000,3,3,1,,2,,,,24,,,,,,,,,,Venezuela,Lara,54xh+277,Barquisimeto,Agua Viva 3050
"Barquisimeto Metropolitan Area, Venezuela, Barquisimeto, Barquisimeto, Lara",720.0,10000,3,2,1,,0,,,,15,,,,,,,,,,Venezuela,Lara,,Barquisimeto,Barquisimeto Metropolitan Area
"Cabudare, Lara, Agua Viva, 24-14311, Palavecino (Cabudare), Cabudare, Lara",563.0,17000,4,3,1,,4,,,,12,,,,,,,,,,,Lara,,Cabudare,Agua Viva
"Barquisimeto, Lara, El Cercado, 24-24490, Santa Rosa, Barquisimeto, Lara",720.0,10000,3,2,1,,0,,,,15,,,,,,,,,,,Lara,,Barquisimeto,El Cercado
"Barquisimeto, Lara, Venezuela, Barquisimeto, Barquisimeto, Lara",178.0,20000,3,2,1,,5,,,,36,,,,,,,,,,Venezuela,Lara,,Barquisimeto,
"Barquisimeto, Lara, Venezuela, Barquisimeto, Barquisimeto, Lara",227.0,25000,4,3,1,,4,,,,25,,,,,,,,,,Venezuela,Lara,,Barquisimeto,
"Cabudare, Lara, Agua Viva, 23-10669, Palavecino (Cabudare), Cabudare, Lara",405.0,13500,3,2,1,,5,,,,5,,,,,,,,,,,Lara,,Cabudare,Agua Viva
"Cabudare, Lara, Agua Viva, 23-18047, Palavecino (Cabudare), Cabudare, Lara",1200.0,17000,3,2,1,,8,,,,15,,,,,,,,,,,Lara,,Cabudare,Agua Viva
"Cabudare, Lara, Las Acacias, 23-12155, La Mata, Cabudare, Lara",374.0,16000,6,2,1,,6,,,,24,,,,,,,,,,,Lara,,Cabudare,Las Acacias
"Cabudare, Lara, Los Pinos, 24-14911, La Mata, Cabudare, Lara",383.3,12000,5,3,1,,4,,,,53,,,,,,,,,,,Lara,,Cabudare,Los Pinos
"Barquisimeto, Lara, Zona Norte Tamaca, 23-21491, Barquisimeto, Barquisimeto, Lara",153.0,16500,3,2,1,,4,,,,20,,,,,,,,,,,Lara,,Barquisimeto,Zona Norte Tamaca
